Name Of Parent Site,Id,Latitude Degrees,Latitude Minutes,Latitude Seconds,Longitude Degrees,Longitude Minutes,Longitude Seconds,Frequency (MHz),Repeater,Repeater Type,Repeater Interference Type,Donor,Repeater Gain (dB),System Type,Use AMOD Table,AMOD Table,MIMO Type and Size,Override Most Likely Server Color,Backhaul Type,Simulcast Delay Offset (µSec),DCC,Lock Status,Number Of Assignable Downlink Channels,Number Of Assignable Uplink Channels,Number Of Assigned Channels,SAT,Study Sector Azimuth Increment (°),Study Sector Odd Azimuth (°),Study Sector Start Azimuth (°),Study Sector Stop Azimuth (°),Study Sector Point Spacing (km),Study Sector Study Radius (km),Study Sector Approx Range (km),Optimization Cost,Propagation Model Name,Receive Antenna Gain (dBi),Receive Antenna Height  (m),Receive Antenna Pattern Filename,Receive Antenna Type,Receive Azimuth Orientation (°),Receive Beam Tilt (°),Receive Beam Tilt Azimuth (°),Receive Cross Pol Rejection (dB),Use Diversity Receive Antenna,Effective Diversity Gain (dB),Receive Antenna Pattern,Receive Misc System Loss (dB),Receive Multiplexer Loss (dB),Receive Polarization,Receive Radome Loss (dB),Receive Transmission Line Length (m),Receive Transmission Line Loss (dB),Receive Transmission Line Type,Receive Receiver Type,Receive Transmitter Use Antenna Type,Use Receive Receiver Type Db,Use Receive Measured Uplink Interference,Receive Measured Uplink Interference (dBmW),Receive Predicted Uplink Interference (dBmW),Receive System Noise Figure (dB),Receive Equivalent Noise Bandwidth (MHz),Receive Filter File Code,Receive Use Tower Top Amplifier Or Multicoupler,Receive Use Tower Top Amplifier,Receive Tower Top Amplifer Gain (dB),Receive Tower Top Amplifier Noise (dB),Receive Use Multicoupler,Receive Multicoupler Gain (dB),Receive Multicoupler Noise (dB),Receive BTS_ Noise (dB),Transmit Antenna Gain (dBi),Transmit Antenna Height  (m),Transmit Antenna Pattern Filename,Transmit Antenna Type,Transmit Azimuth Orientation (°),Transmit Beam Tilt (°),Transmit Beam Tilt Azimuth (°),Transmit Cross Pol Attenuation (°),Transmit Antenna Pattern,Transmit Min Transmitter Power Per Channel (dBW),Transmit Max Transmitter Power Per Channel (dBW),Transmit Misc System Loss (dB),Transmit Multiplexer Loss (dB),Transmit Polarization,Transmit Power Spectral Density File Code,Transmit Radome Loss (dB),Transmit Transmission Line Length (m),Transmit Transmission Line Loss (dB),Transmit Transmission Line Type,Transmit Transmitter Type,Transmit Transmitter Use Antenna Type,Use Transmit Transmitter Type Db,CDMA Pn Offset Index,Handoff Drop Threshold (dB),Handoff Initiate Threshold (dB),Percent Power For Paging Channel,Percent Power For Pilot Channel,Percent Power For Sync Channel,Percent Power For Traffic Channel,Traffic Channels Per Carrier,Traffic Data Rate (kbps),Use System Type Defaults,Measurement Analysis Data Filename,Measurement Analysis Datafile Type,Wi MAX Channel Segment,Wi MAX Channel ID Cell,Wi MAX Channel PN Code,LTE Channel Cell ID,LTE Channel Cell ID Group
ABAA,ABAA0001,44,19,29.66,-123,0,15.03,900,False,1,0,,0,Generic transmit/receive,False,Global Table,None,False,none,0,1,unlocked,0,0,0,5970,1,-1,0,360,0.1,50,50,0,"Anderson 2D, terrain and clutter",6,30,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,0,0,0,15,False,5,Use file,0,0,vertical,0,0,3,custom,transmitter 1,False,False,False,-160,-160,5,0.2,0,False,False,0,0,False,0,0,0,6,10,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,335,0,335,15,Use file,0,13,0,0,vertical,0,0,0,1,custom,Cellular (850MHz) 20 watt,False,False,1,-16,-12,3,20,2,75,0,1200,True,,EDX,0,0,0,0,0
ABAA,ABAA0002,44,19,29.66,-123,0,15.03,900,False,1,0,,0,Generic transmit/receive,False,Global Table,None,False,none,0,1,unlocked,0,0,0,5970,1,-1,0,360,0.1,50,50,0,"Anderson 2D, terrain and clutter",6,30,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,120,0,120,15,False,5,Use file,0,0,vertical,0,0,3,custom,transmitter 1,False,False,False,-160,-160,5,0.2,0,False,False,0,0,False,0,0,0,6,10,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,95,0,95,15,Use file,0,13,0,0,vertical,0,0,0,1,custom,Cellular (850MHz) 20 watt,False,False,1,-16,-12,3,20,2,75,0,1200,True,,EDX,0,0,0,0,0
ABAA,ABAA0003,44,19,29.66,-123,0,15.03,900,False,1,0,,0,Generic transmit/receive,False,Global Table,None,False,none,0,1,unlocked,0,0,0,5970,1,-1,0,360,0.1,50,50,0,"Anderson 2D, terrain and clutter",6,30,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,240,0,240,15,False,5,Use file,0,0,vertical,0,0,3,custom,transmitter 1,False,False,False,-160,-160,5,0.2,0,False,False,0,0,False,0,0,0,6,10,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,215,0,215,15,Use file,0,13,0,0,vertical,0,0,0,1,custom,Cellular (850MHz) 20 watt,False,False,1,-16,-12,3,20,2,75,0,1200,True,,EDX,0,0,0,0,0
ABAB,ABAB0001,44,19,17.75,-123,19,12.45,900,False,1,0,,0,Generic transmit/receive,False,Global Table,None,False,none,0,1,unlocked,0,0,0,5970,1,-1,0,360,0.1,50,50,0,"Anderson 2D, terrain and clutter",6,30,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,0,0,0,15,False,5,Use file,0,0,vertical,0,0,3,custom,transmitter 1,False,False,False,-160,-160,5,0.2,0,False,False,0,0,False,0,0,0,6,10,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,335,0,335,15,Use file,0,13,0,0,vertical,0,0,0,1,custom,Cellular (850MHz) 20 watt,False,False,1,-16,-12,3,20,2,75,0,1200,True,,EDX,0,0,0,0,0
ABAB,ABAB0002,44,19,17.75,-123,19,12.45,900,False,1,0,,0,Generic transmit/receive,False,Global Table,None,False,none,0,1,unlocked,0,0,0,5970,1,-1,0,360,0.1,50,50,0,"Anderson 2D, terrain and clutter",6,30,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,120,0,120,15,False,5,Use file,0,0,vertical,0,0,3,custom,transmitter 1,False,False,False,-160,-160,5,0.2,0,False,False,0,0,False,0,0,0,6,10,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,95,0,95,15,Use file,0,13,0,0,vertical,0,0,0,1,custom,Cellular (850MHz) 20 watt,False,False,1,-16,-12,3,20,2,75,0,1200,True,,EDX,0,0,0,0,0
ABAB,ABAB0003,44,19,17.75,-123,19,12.45,900,False,1,0,,0,Generic transmit/receive,False,Global Table,None,False,none,0,1,unlocked,0,0,0,5970,1,-1,0,360,0.1,50,50,0,"Anderson 2D, terrain and clutter",6,30,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,240,0,240,15,False,5,Use file,0,0,vertical,0,0,3,custom,transmitter 1,False,False,False,-160,-160,5,0.2,0,False,False,0,0,False,0,0,0,6,10,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,215,0,215,15,Use file,0,13,0,0,vertical,0,0,0,1,custom,Cellular (850MHz) 20 watt,False,False,1,-16,-12,3,20,2,75,0,1200,True,,EDX,0,0,0,0,0
ABAC,ABAC0001,44,25,50.53,-123,16,7.55,900,False,1,0,,0,Generic transmit/receive,False,Global Table,None,False,none,0,1,unlocked,0,0,0,5970,1,-1,0,360,0.1,50,50,0,"Anderson 2D, terrain and clutter",6,30,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,0,0,0,15,False,5,Use file,0,0,vertical,0,0,3,custom,transmitter 1,False,False,False,-160,-160,5,0.2,0,False,False,0,0,False,0,0,0,6,10,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,30,0,30,15,Use file,0,13,0,0,vertical,0,0,0,1,custom,Cellular (850MHz) 20 watt,False,False,1,-16,-12,3,20,2,75,0,1200,True,,EDX,0,0,0,0,0
ABAC,ABAC0002,44,25,50.53,-123,16,7.55,900,False,1,0,,0,Generic transmit/receive,False,Global Table,None,False,none,0,1,unlocked,0,0,0,5970,1,-1,0,360,0.1,50,50,0,"Anderson 2D, terrain and clutter",6,30,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,120,0,120,15,False,5,Use file,0,0,vertical,0,0,3,custom,transmitter 1,False,False,False,-160,-160,5,0.2,0,False,False,0,0,False,0,0,0,6,10,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,150,0,150,15,Use file,0,13,0,0,vertical,0,0,0,1,custom,Cellular (850MHz) 20 watt,False,False,1,-16,-12,3,20,2,75,0,1200,True,,EDX,0,0,0,0,0
ABAC,ABAC0003,44,25,50.53,-123,16,7.55,900,False,1,0,,0,Generic transmit/receive,False,Global Table,None,False,none,0,1,unlocked,0,0,0,5970,1,-1,0,360,0.1,50,50,0,"Anderson 2D, terrain and clutter",6,30,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,240,0,240,15,False,5,Use file,0,0,vertical,0,0,3,custom,transmitter 1,False,False,False,-160,-160,5,0.2,0,False,False,0,0,False,0,0,0,6,10,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,270,0,270,15,Use file,0,13,0,0,vertical,0,0,0,1,custom,Cellular (850MHz) 20 watt,False,False,1,-16,-12,3,20,2,75,0,1200,True,,EDX,0,0,0,0,0
ABAD,ABAD0001,44,30,17.83,-122,57,36.43,900,False,1,0,,0,Generic transmit/receive,False,Global Table,None,False,none,0,1,unlocked,0,0,0,5970,1,-1,0,360,0.1,50,50,0,"Anderson 2D, terrain and clutter",6,30,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,0,0,0,15,False,5,Use file,0,0,vertical,0,0,3,custom,transmitter 1,False,False,False,-160,-160,5,0.2,0,False,False,0,0,False,0,0,0,6,10,<INSTALL_PATH>\LIBRARY DATA\PAT\DB872H83.PAT,Parabolic dish antenna,5,0,5,15,Use file,0,13,0,0,vertical,0,0,0,1,custom,Cellular (850MHz) 20 watt,False,False,1,-16,-12,3,20,2,75,0,1200,True,,EDX,0,0,0,0,0
