Temp. level:    1.000     Acceptance ratio:    0.900     Current cost:       46.054
Temp. level:    0.850     Acceptance ratio:    0.780     Current cost:       35.865
Temp. level:    0.722     Acceptance ratio:    0.810     Current cost:       42.392
Temp. level:    0.614     Acceptance ratio:    0.800     Current cost:       32.504
Temp. level:    0.522     Acceptance ratio:    0.710     Current cost:       34.106
Temp. level:    0.444     Acceptance ratio:    0.520     Current cost:       38.341
Temp. level:    0.377     Acceptance ratio:    0.470     Current cost:       33.188
Temp. level:    0.321     Acceptance ratio:    0.370     Current cost:       31.144
Temp. level:    0.272     Acceptance ratio:    0.360     Current cost:       27.989
Temp. level:    0.232     Acceptance ratio:    0.220     Current cost:       23.263
Temp. level:    0.197     Acceptance ratio:    0.040     Current cost:       20.199
Temp. level:    0.167     Acceptance ratio:    0.020     Current cost:       19.440
Temp. level:    0.142     Acceptance ratio:    0.050     Current cost:       16.015
Temp. level:    0.121     Acceptance ratio:    0.030     Current cost:       16.499
Temp. level:    0.103     Acceptance ratio:    0.060     Current cost:       14.118
Temp. level:    0.087     Acceptance ratio:    0.000     Current cost:       14.118
Temp. level:    0.074     Acceptance ratio:    0.000     Current cost:       14.118
Temp. level:    0.063     Acceptance ratio:    0.000     Current cost:       14.118
Temp. level:    0.054     Acceptance ratio:    0.000     Current cost:       14.118
Temp. level:    0.046     Acceptance ratio:    0.000     Current cost:       14.118
Temp. level:    0.039     Acceptance ratio:    0.030     Current cost:       13.704
Temp. level:    0.033     Acceptance ratio:    0.000     Current cost:       13.704
Temp. level:    0.028     Acceptance ratio:    0.000     Current cost:       13.704
Temp. level:    0.024     Acceptance ratio:    0.000     Current cost:       13.704
Temp. level:    0.020     Acceptance ratio:    0.000     Current cost:       13.704
Temp. level:    0.017     Acceptance ratio:    0.000     Current cost:       13.704
Temp. level:    0.015     Acceptance ratio:    0.000     Current cost:       13.704
Temp. level:    0.012     Acceptance ratio:    0.000     Current cost:       13.704
Temp. level:    0.011     Acceptance ratio:    0.000     Current cost:       13.704
Temp. level:    0.009     Acceptance ratio:    0.000     Current cost:       13.704
sectors ABAA0001 on ch 17,ABAL0001 on ch 17, cost =0.008
sectors ABAA0001 on ch 54,ABAN0001 on ch 54, cost =0.008
sectors ABAA0001 on ch 17,ABAR0001 on ch 17, cost =0.002
sectors ABAA0001 on ch 17,ABAS0002 on ch 17, cost =0.017
sectors ABAA0003 on ch **,ABAI0001 on ch **, cost =0.009
sectors ABAA0003 on ch **,ABAP0002 on ch **, cost =0.098
sectors ABAB0001 on ch  2,ABAN0001 on ch  2, cost =0.070
sectors ABAB0001 on ch  9,ABAR0001 on ch  9, cost =0.003
sectors ABAB0002 on ch **,ABAE0002 on ch **, cost =0.012
sectors ABAB0002 on ch 22,ABAI0001 on ch 22, cost =0.038
sectors ABAB0002 on ch **,ABAP0001 on ch **, cost =0.003
sectors ABAB0003 on ch 26,ABAS0001 on ch 26, cost =0.024
sectors ABAC0002 on ch 65,ABAE0001 on ch 65, cost =0.002
sectors ABAC0002 on ch 62,ABAH0001 on ch 62, cost =0.037
sectors ABAC0002 on ch 65,ABAI0001 on ch 65, cost =0.003
sectors ABAC0002 on ch 62,ABAP0001 on ch 62, cost =0.005
sectors ABAC0003 on ch **,ABAQ0002 on ch **, cost =0.008
sectors ABAC0003 on ch 89,ABAQ0002 on ch 89, cost =0.008
sectors ABAC0003 on ch **,ABAT0002 on ch **, cost =0.002
sectors ABAD0001 on ch 74,ABAF0003 on ch 74, cost =0.003
sectors ABAD0001 on ch 89,ABAL0002 on ch 89, cost =0.244
sectors ABAD0001 on ch 74,ABAL0002 on ch 74, cost =0.244
sectors ABAD0001 on ch 74,ABAM0001 on ch 74, cost =0.017
sectors ABAD0001 on ch **,ABAP0001 on ch **, cost =0.110
sectors ABAD0001 on ch **,ABAQ0001 on ch **, cost =0.005
sectors ABAD0001 on ch 89,ABAQ0002 on ch 89, cost =0.129
sectors ABAD0002 on ch 57,ABAF0001 on ch 57, cost =0.010
sectors ABAD0002 on ch 38,ABAP0001 on ch 38, cost =0.059
sectors ABAD0002 on ch **,ABAP0002 on ch **, cost =0.334
